t_idx,time_label,node_idx,node_label,state_X,velocity_v,acceleration_a,jerk_j,snap_s,inertia_M,viscosity_C,external_force_F
39,2024-01-01 10:06:30,1,01_Parietal_Lobe,99776.27,-24.09,-18.34,-23.89,31.34,99871.994,9987.1994,-2072244.0035
39,2024-01-01 10:06:30,2,02_Prefrontal_Cortex,100234.48,10.8,-14.34,-78.68,-171.89,100210.146,10021.0146,-1328786.536
39,2024-01-01 10:06:30,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100053.5445,10005.3544,0.0
39,2024-01-01 10:06:30,4,04_Visual_Cortex,99850.27,-7.37,19.05,43.08,-4.91,99911.9097,9991.191,1829686.8033
40,2024-01-01 10:06:40,0,00_Motor_Cortex,100019.97,0.79,-19.87,-33.5,-92.99,99954.0537,9995.4054,-1978190.676
40,2024-01-01 10:06:40,1,01_Parietal_Lobe,99774.97,-1.3,22.79,41.13,65.02,99869.6276,9986.9628,2263045.7605
40,2024-01-01 10:06:40,2,02_Prefrontal_Cortex,100249.56,15.08,4.28,18.62,97.3,100211.1073,10021.1107,580021.8892
40,2024-01-01 10:06:40,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100055.1605,10005.516,0.0
40,2024-01-01 10:06:40,4,04_Visual_Cortex,99835.7,-14.57,-7.2,-26.25,-69.33,99910.051,9991.0051,-864921.3113
41,2024-01-01 10:06:50,0,00_Motor_Cortex,99987.96,-32.01,-32.8,-12.93,20.57,99954.861,9995.4861,-3598474.9491
41,2024-01-01 10:06:50,1,01_Parietal_Lobe,99759.37,-15.6,-14.3,-37.09,-78.22,99867.0024,9986.7002,-1583890.6578
41,2024-01-01 10:06:50,2,02_Prefrontal_Cortex,100320.18,70.62,55.54,51.26,32.64,100213.7043,10021.3704,6273578.3157
41,2024-01-01 10:06:50,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100056.6995,10005.67,0.0
41,2024-01-01 10:06:50,4,04_Visual_Cortex,99812.69,-23.01,-8.44,-1.24,25.01,99907.7329,9990.7733,-1073108.9586
42,2024-01-01 10:07:00,0,00_Motor_Cortex,99965.52,-22.44,9.57,42.37,55.3,99955.1088,9995.5109,732271.1273
42,2024-01-01 10:07:00,1,01_Parietal_Lobe,99787.63,28.26,43.86,58.16,95.25,99865.1565,9986.5157,4662304.6969
42,2024-01-01 10:07:00,2,02_Prefrontal_Cortex,100354.05,33.87,-36.75,-92.29,-143.55,100216.9681,10021.6968,-3343538.708
42,2024-01-01 10:07:00,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100058.167,10005.8167,0.0
42,2024-01-01 10:07:00,4,04_Visual_Cortex,99773.0,-39.69,-16.68,-8.24,-7.0,99904.5995,9990.46,-2062930.0758
43,2024-01-01 10:07:10,0,00_Motor_Cortex,99968.39,2.87,25.31,15.74,-26.63,99955.4107,9995.5411,2558558.6472
43,2024-01-01 10:07:10,1,01_Parietal_Lobe,99773.51,-14.12,-42.38,-86.24,-144.4,99863.0736,9986.3074,-4373203.7207
43,2024-01-01 10:07:10,2,02_Prefrontal_Cortex,100351.81,-2.24,-36.11,0.64,92.93,100220.0327,10022.0033,-3641394.6691
43,2024-01-01 10:07:10,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100059.5677,10005.9568,0.0
43,2024-01-01 10:07:10,4,04_Visual_Cortex,99786.49,13.49,53.18,69.86,78.1,99901.9152,9990.1915,5447551.5354
44,2024-01-01 10:07:20,0,00_Motor_Cortex,100011.82,43.43,40.56,15.25,-0.49,99956.6642,9995.6664,4488354.0936
44,2024-01-01 10:07:20,1,01_Parietal_Lobe,99761.95,-11.56,2.56,44.94,131.18,99860.8264,9986.0826,140204.6003
44,2024-01-01 10:07:20,2,02_Prefrontal_Cortex,100325.03,-26.78,-24.54,11.57,10.93,100222.366,10022.2366,-2727852.3578
44,2024-01-01 10:07:20,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100060.9062,10006.0906,0.0
44,2024-01-01 10:07:20,4,04_Visual_Cortex,99781.4,-5.09,-18.58,-71.76,-141.62,99899.2371,9989.9237,-1906976.5372
45,2024-01-01 10:07:30,0,00_Motor_Cortex,100018.83,7.01,-36.42,-76.98,-92.23,99958.0157,9995.8016,-3570400.3611
45,2024-01-01 10:07:30,1,01_Parietal_Lobe,99733.59,-28.36,-16.8,-19.36,-64.3,99858.0604,9985.806,-1960812.8747
45,2024-01-01 10:07:30,2,02_Prefrontal_Cortex,100337.49,12.46,39.24,63.78,52.21,100224.8687,10022.4869,4057704.034
45,2024-01-01 10:07:30,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100062.1865,10006.2187,0.0
45,2024-01-01 10:07:30,4,04_Visual_Cortex,99790.29,8.89,13.98,32.56,104.32,99896.8687,9989.6869,1485366.5406
46,2024-01-01 10:07:40,0,00_Motor_Cortex,100063.95,45.12,38.11,74.53,151.51,99960.2696,9996.027,4260506.6098
46,2024-01-01 10:07:40,1,01_Parietal_Lobe,99757.31,23.72,52.08,68.88,88.24,99855.9168,9985.5917,5437354.3821
46,2024-01-01 10:07:40,2,02_Prefrontal_Cortex,100299.27,-38.22,-50.68,-89.92,-153.7,100226.4517,10022.6452,-5462542.0707
46,2024-01-01 10:07:40,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100063.4123,10006.3412,0.0
46,2024-01-01 10:07:40,4,04_Visual_Cortex,99759.67,-30.62,-39.51,-53.49,-86.05,99893.9496,9989.395,-4252685.2213
47,2024-01-01 10:07:50,0,00_Motor_Cortex,100099.27,35.32,-9.8,-47.91,-122.44,99963.1654,9996.3165,-626569.1208
47,2024-01-01 10:07:50,1,01_Parietal_Lobe,99807.33,50.02,26.3,-25.78,-94.66,99854.9046,9985.4905,3125658.2233
47,2024-01-01 10:07:50,2,02_Prefrontal_Cortex,100240.66,-58.61,-20.39,30.29,120.21,100226.7477,10022.6748,-2631052.3541
47,2024-01-01 10:07:50,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100064.5871,10006.4587,0.0
47,2024-01-01 10:07:50,4,04_Visual_Cortex,99732.94,-26.73,3.89,43.4,96.89,99890.5952,9989.0595,121566.8544
48,2024-01-01 10:08:00,0,00_Motor_Cortex,100044.63,-54.64,-89.96,-80.16,-32.25,99964.828,9996.4828,-9539043.7432
48,2024-01-01 10:08:00,1,01_Parietal_Lobe,99808.7,1.37,-48.65,-74.95,-49.17,99853.9616,9985.3962,-4844215.2407
48,2024-01-01 10:08:00,2,02_Prefrontal_Cortex,100276.29,35.63,94.24,114.63,84.34,100227.7588,10022.7759,9802575.4915
48,2024-01-01 10:08:00,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100065.7139,10006.5714,0.0
48,2024-01-01 10:08:00,4,04_Visual_Cortex,99750.58,17.64,44.37,40.48,-2.92,99887.7378,9988.7738,4608220.8936
49,2024-01-01 10:08:10,0,00_Motor_Cortex,100064.37,19.74,74.38,164.34,244.5,99966.8188,9996.6819,7632866.4827
49,2024-01-01 10:08:10,1,01_Parietal_Lobe,99825.64,16.94,15.57,64.22,139.17,99853.3952,9985.3395,1723869.0147
49,2024-01-01 10:08:10,2,02_Prefrontal_Cortex,100251.61,-24.68,-60.31,-154.55,-269.18,100228.2358,10022.8236,-6292128.1871
49,2024-01-01 10:08:10,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100066.7956,10006.6796,0.0
49,2024-01-01 10:08:10,4,04_Visual_Cortex,99738.58,-12.0,-29.64,-74.01,-114.49,99884.7546,9988.4755,-3080445.8319
50,2024-01-01 10:08:20,0,00_Motor_Cortex,100003.1,-61.27,-81.01,-155.39,-319.73,99967.5302,9996.753,-8710870.6787
50,2024-01-01 10:08:20,1,01_Parietal_Lobe,99843.88,18.24,1.3,-14.27,-78.49,99853.2086,9985.3209,311941.4238
50,2024-01-01 10:08:20,2,02_Prefrontal_Cortex,100257.97,6.36,31.04,91.35,245.9,100228.8188,10022.8819,3174848.0651
50,2024-01-01 10:08:20,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100067.8349,10006.7835,0.0
50,2024-01-01 10:08:20,4,04_Visual_Cortex,99775.25,36.67,48.67,78.31,152.32,99882.6075,9988.2607,5227556.0262
51,2024-01-01 10:08:30,0,00_Motor_Cortex,99964.15,-38.95,22.32,103.33,258.72,99967.4652,9996.7465,1841900.5462
51,2024-01-01 10:08:30,1,01_Parietal_Lobe,99852.64,8.76,-9.48,-10.78,3.49,99853.1977,9985.3198,-859136.9129
51,2024-01-01 10:08:30,2,02_Prefrontal_Cortex,100244.66,-13.31,-19.67,-50.71,-142.06,100229.1235,10022.9123,-2104911.8218
51,2024-01-01 10:08:30,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100068.8342,10006.8834,0.0
51,2024-01-01 10:08:30,4,04_Visual_Cortex,99818.75,43.5,6.83,-41.84,-120.15,99881.3794,9988.1379,1116673.8219
52,2024-01-01 10:08:40,0,00_Motor_Cortex,100020.14,55.99,94.94,72.62,-30.71,99968.4591,9996.8459,10050728.9051
52,2024-01-01 10:08:40,1,01_Parietal_Lobe,99835.0,-17.64,-26.4,-16.92,-6.14,99852.8543,9985.2854,-2812255.7896
52,2024-01-01 10:08:40,2,02_Prefrontal_Cortex,100228.01,-16.65,-3.34,16.33,67.04,100229.1025,10022.9102,-501646.6578
52,2024-01-01 10:08:40,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100069.7958,10006.9796,0.0
52,2024-01-01 10:08:40,4,04_Visual_Cortex,99797.05,-21.7,-65.2,-72.03,-30.19,99879.7883,9987.9788,-6728901.3379
53,2024-01-01 10:08:50,0,00_Motor_Cortex,100083.87,63.73,7.74,-87.2,-159.82,99970.5963,9997.0596,1410885.0255
53,2024-01-01 10:08:50,1,01_Parietal_Lobe,99823.66,-11.34,6.3,32.7,49.62,99852.3137,9985.2314,515837.0526
53,2024-01-01 10:08:50,2,02_Prefrontal_Cortex,100156.36,-71.65,-55.0,-51.66,-67.99,100227.7554,10022.7755,-6230658.4126
53,2024-01-01 10:08:50,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100070.7219,10007.0722,0.0
53,2024-01-01 10:08:50,4,04_Visual_Cortex,99816.31,19.26,40.96,106.16,178.19,99878.6128,9987.8613,4283394.1876
54,2024-01-01 10:09:00,0,00_Motor_Cortex,100115.48,31.61,-32.12,-39.86,47.34,99973.2305,9997.3231,-2895124.7834
54,2024-01-01 10:09:00,1,01_Parietal_Lobe,99820.75,-2.91,8.43,2.13,-30.57,99851.7398,9985.174,812693.3104
54,2024-01-01 10:09:00,2,02_Prefrontal_Cortex,100130.91,-25.45,46.2,101.2,152.86,100225.9945,10022.5995,4375365.7919
54,2024-01-01 10:09:00,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100071.6142,10007.1614,0.0
54,2024-01-01 10:09:00,4,04_Visual_Cortex,99813.06,-3.25,-22.51,-63.47,-169.63,99877.4209,9987.7421,-2280700.9065
55,2024-01-01 10:09:10,0,00_Motor_Cortex,100143.84,28.36,-3.25,28.87,68.73,99976.2771,9997.6277,-41390.1787
55,2024-01-01 10:09:10,1,01_Parietal_Lobe,99854.92,34.17,37.08,28.65,26.52,99851.7966,9985.1797,4043698.2072
55,2024-01-01 10:09:10,2,02_Prefrontal_Cortex,100098.9,-32.01,-6.56,-52.76,-153.96,100223.725,10022.3725,-978283.7797
55,2024-01-01 10:09:10,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100072.4746,10007.2475,0.0
55,2024-01-01 10:09:10,4,04_Visual_Cortex,99782.54,-30.52,-27.27,-4.76,58.71,99875.7266,9987.5727,-3028431.7822
56,2024-01-01 10:09:20,0,00_Motor_Cortex,100126.35,-17.49,-45.85,-42.6,-71.47,99978.91,9997.891,-4758896.1371
56,2024-01-01 10:09:20,1,01_Parietal_Lobe,99816.46,-38.46,-72.63,-109.71,-138.36,99851.1767,9985.1177,-7636218.5868
56,2024-01-01 10:09:20,2,02_Prefrontal_Cortex,100163.13,64.23,96.24,102.8,155.56,100222.6619,10022.2662,10289159.1417
56,2024-01-01 10:09:20,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100073.3049,10007.3305,0.0
56,2024-01-01 10:09:20,4,04_Visual_Cortex,99774.26,-8.28,22.24,49.51,54.27,99873.9465,9987.3946,2138500.9423
57,2024-01-01 10:09:30,0,00_Motor_Cortex,100138.92,12.57,30.06,75.91,118.51,99981.6688,9998.1669,3131125.9216
57,2024-01-01 10:09:30,1,01_Parietal_Lobe,99896.69,80.23,118.69,191.32,301.03,99851.9614,9985.1961,12652541.5823
57,2024-01-01 10:09:30,2,02_Prefrontal_Cortex,100091.44,-71.69,-135.92,-232.16,-334.96,100220.3995,10022.0399,-14340436.7416
57,2024-01-01 10:09:30,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100074.1066,10007.4107,0.0
57,2024-01-01 10:09:30,4,04_Visual_Cortex,99753.15,-21.11,-12.83,-35.07,-84.58,99871.8638,9987.1864,-1492185.5169
58,2024-01-01 10:09:40,0,00_Motor_Cortex,100139.05,0.13,-12.44,-42.5,-118.41,99984.3363,9998.4336,-1242505.3468
58,2024-01-01 10:09:40,1,01_Parietal_Lobe,99850.18,-46.51,-126.74,-245.43,-436.75,99851.9312,9985.1931,-13119645.0905
58,2024-01-01 10:09:40,2,02_Prefrontal_Cortex,100096.62,5.18,76.87,212.79,444.95,100218.3015,10021.8302,7755693.9184
58,2024-01-01 10:09:40,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100074.881,10007.4881,0.0
58,2024-01-01 10:09:40,4,04_Visual_Cortex,99794.35,41.2,62.31,75.14,110.21,99870.55,9987.055,6634400.6365
59,2024-01-01 10:09:50,0,00_Motor_Cortex,100137.22,-1.83,-1.96,10.48,52.98,99986.8843,9998.6884,-214271.8931
59,2024-01-01 10:09:50,1,01_Parietal_Lobe,99866.46,16.28,62.79,189.53,434.96,99852.1733,9985.2173,6432277.3018
59,2024-01-01 10:09:50,2,02_Prefrontal_Cortex,100123.19,26.57,21.39,-55.48,-268.27,100216.7163,10021.6716,2409911.3777
59,2024-01-01 10:09:50,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100075.6297,10007.563,0.0
59,2024-01-01 10:09:50,4,04_Visual_Cortex,99753.33,-41.02,-82.22,-144.53,-219.67,99868.5963,9986.8596,-8620856.9727
